Pclass,SibSp,Parch,Fare,Gender,AgeFill,AgeisNull,port_C,port_Q,port_S,FamilySize,Pclass*Pclass,Pclass*Fare,Pclass*Gender,Pclass*AgeFill,Pclass*FamilySize,Fare*Fare,Fare*Gender,Fare*AgeFill,Fare*FamilySize,Gender*AgeFill,Gender*FamilySize,AgeFill*AgeFill,AgeFill*FamilySize,FamilySize*FamilySize,Pclass*Pclass*Pclass,Pclass*Pclass*Fare,Pclass*Pclass*Gender,Pclass*Pclass*AgeFill,Pclass*Pclass*FamilySize,Pclass*Fare*Fare,Pclass*Fare*Gender,Pclass*Fare*AgeFill,Pclass*Fare*FamilySize,Pclass*Gender*AgeFill,Pclass*Gender*FamilySize,Pclass*AgeFill*AgeFill,Pclass*AgeFill*FamilySize,Pclass*FamilySize*FamilySize,Fare*Fare*Fare,Fare*Fare*Gender,Fare*Fare*AgeFill,Fare*Fare*FamilySize,Fare*Gender*AgeFill,Fare*Gender*FamilySize,Fare*AgeFill*AgeFill,Fare*AgeFill*FamilySize,Fare*FamilySize*FamilySize,Gender*AgeFill*AgeFill,Gender*AgeFill*FamilySize,Gender*FamilySize*FamilySize,AgeFill*AgeFill*AgeFill,AgeFill*AgeFill*FamilySize,AgeFill*FamilySize*FamilySize,FamilySize*FamilySize*FamilySize,Survived
3,0.21627521402090125,-0.2367038622841949,-0.2510815682578022,0,-0.26729545760480217,0,0.0,0.0,1.0,0.02956333437971089,0.43150973413131305,-0.2888201455669808,0,0.0539687796679377,0.08968408179293576,-0.09959642162512015,-0.19383214092843365,-0.2345520997824135,-0.1473459906751786,-0.3165625061502096,-0.19356481599610129,-0.2963880082134707,0.014690083160003252,-0.10815140483043603,0.44173739450441984,-0.21525529287274664,-0.28716051650296126,0.1884459320341586,0.115572982124502,-0.1105180721477073,-0.25269281220850204,-0.2741427331468714,-0.13364795774789096,-0.3066449926725759,-0.16603858405438432,-0.17104641991100972,0.09485448145572652,-0.09191833453120181,-0.05339050831303378,-0.08358591841972687,-0.09397287212215842,-0.08769079330894108,-0.1727640717733104,-0.12235487654193546,-0.21366970365987625,-0.126383346176499,-0.11118144316489739,-0.24805546565322653,-0.17691343054063136,-0.11138712539334464,-0.26458304175875785,-0.05987004310502828,-0.09328754390872446,-0.09391189157477405,0
1,0.21627521402090125,-0.2367038622841949,0.3932018089172693,1,0.334008285803385,0,1.0,0.0,0.0,0.02956333437971089,-0.7300466801013152,0.19136031578085425,1,-0.3924309853165827,-0.12834734215660243,0.045525025017988226,0.6876198143973903,0.461475508328112,0.09290142345295592,0.9355605467976637,0.21512298270656752,0.23019023049130233,0.2094720928413591,-0.10815140483043603,-0.6813188479329583,-0.18282354772069326,-0.136121543537118,-0.5461488770409507,-0.17645261751514718,0.03155997013889903,0.5387512474061759,0.3328620433465865,-0.032279597551193556,0.3046409540381353,-0.017055322833380855,-0.17333644932192802,-0.03635025410646997,-0.12210047422801433,-0.030844117494835153,0.14246663854572292,0.06318479131851787,-0.0014101438390948502,0.7977159952279077,0.22922295107121707,0.3893791842058257,0.1777420248572532,-0.07196167226607549,0.8633182261005657,0.4138390652673174,-0.04660518758298558,0.11629025650124097,0.23296520104991655,-0.06275498621853408,-0.09391189157477405,1
3,-0.2371394111382117,-0.2367038622841949,-0.24428992579063005,1,-0.11696952175275539,0,0.0,0.0,1.0,-0.280329970706435,0.43150973413131305,-0.26918960542066783,3,0.2452829646613036,-0.23736305413137154,-0.09930082168587917,-0.09583574140768819,-0.22184252267932142,-0.1745473648418852,0.5401532669193879,-0.19356481599610129,-0.19107236047251608,-0.25313518015186104,-0.1528673684981476,0.44173739450441984,-0.18259939116079388,1.0721902401896282,0.3537297640760582,-0.2129558174701033,-0.10963133266827761,0.011276203217817535,-0.23613460324568947,-0.17815865730310265,0.9480998453125681,-0.16603858405438432,-0.0061643023248903975,-0.21441382379802235,-0.1371915440764206,-0.05338323923111361,-0.08079188001007104,-0.09358264905997744,-0.08859263371092148,-0.09894172532514589,-0.12235487654193546,-0.20245898688838132,-0.14541157159386178,-0.11562199736117432,0.2722275091567205,-0.17691343054063136,-0.11138712539334464,-0.20491656630775226,-0.2075078120331463,-0.13526981073273622,-0.09906781587036366,1
1,0.21627521402090125,-0.2367038622841949,0.21024703488270488,1,0.2212638339143499,0,0.0,0.0,1.0,0.02956333437971089,-0.7300466801013152,0.015089698179642775,1,-0.44025953156492414,-0.12834734215660243,-0.01974392808658489,0.4627746495512615,0.22932698718114194,0.024679251468752276,0.8367087268280947,0.21512298270656752,0.11006456978677599,0.17295046602610487,-0.10815140483043603,-0.6813188479329583,-0.28056709629665216,-0.136121543537118,-0.559922529711109,-0.17645261751514718,-0.03370454203418698,0.3368657459045398,0.10144780937823436,-0.06949115632003405,0.2563815371925528,-0.017055322833380855,-0.23602600444581714,-0.050407904345276734,-0.12210047422801433,-0.04408484015423375,0.04185027682949993,-0.014113993730027393,-0.04021521224451606,0.4930880557390109,0.13954072377761204,0.1595871778218304,0.07630602676456279,-0.08309876593740818,0.6947650138470474,0.3672007103351109,-0.04660518758298558,0.012967695013695614,0.16616216097706976,-0.06847984078544478,-0.09391189157477405,1
3,-0.2371394111382117,-0.2367038622841949,-0.2430322142226352,0,0.2212638339143499,0,0.0,0.0,1.0,-0.280329970706435,0.43150973413131305,-0.26555432020838765,0,0.6757398808963768,-0.23736305413137154,-0.09924319511892114,-0.19383214092843365,-0.2011741019123166,-0.1745473648418852,-0.3165625061502096,-0.19356481599610129,0.11006456978677599,-0.25313518015186104,-0.1528673684981476,0.44173739450441984,-0.17655200195487672,-0.28716051650296126,0.7256183861703323,-0.2129558174701033,-0.10945846473022294,-0.25269281220850204,-0.17432546396492746,-0.17815865730310265,-0.3066449926725759,-0.16603858405438432,0.4652955026479195,-0.21441382379802235,-0.1371915440764206,-0.05338174838551047,-0.08358591841972687,-0.09306258671149867,-0.08859263371092148,-0.1727640717733104,-0.12235487654193546,-0.1751406360779207,-0.14541157159386178,-0.11562199736117432,-0.24805546565322653,-0.17691343054063136,-0.11138712539334464,0.012967695013695614,-0.2075078120331463,-0.13526981073273622,-0.09906781587036366,0
3,-0.2371394111382117,-0.2367038622841949,-0.23892402515693686,0,-0.1545510057157671,1,0.0,1.0,0.0,-0.280329970706435,0.43150973413131305,-0.2536800245909957,0,0.1974544184129621,-0.23736305413137154,-0.09904867989369959,-0.19383214092843365,-0.22036610939930057,-0.1745473648418852,-0.3165625061502096,-0.19356481599610129,-0.21904682940370715,-0.25313518015186104,-0.1528673684981476,0.44173739450441984,-0.15679880985266892,-0.28716051650296126,0.3124088060655833,-0.2129558174701033,-0.1088749587592914,-0.25269281220850204,-0.23171937311807098,-0.17815865730310265,-0.3066449926725759,-0.16603858405438432,-0.04996111480870334,-0.21441382379802235,-0.1371915440764206,-0.053376547171895876,-0.08358591841972687,-0.09345522140741244,-0.08859263371092148,-0.1727640717733104,-0.12235487654193546,-0.2028887977509145,-0.14541157159386178,-0.11562199736117432,-0.24805546565322653,-0.17691343054063136,-0.11138712539334464,-0.2217192934447199,-0.2075078120331463,-0.13526981073273622,-0.09906781587036366,0
1,-0.2371394111382117,-0.2367038622841949,0.1977956903595559,0,0.9353120292115722,0,0.0,0.0,1.0,-0.280329970706435,-0.7300466801013152,0.003093256979118117,0,-0.1373454053254282,-0.23736305413137154,-0.023492373938846258,-0.19383214092843365,0.4865423437739562,-0.1745473648418852,-0.3165625061502096,-0.19356481599610129,1.0376101965052877,-0.25313518015186104,-0.1528673684981476,-0.6813188479329583,-0.28721922442316106,-0.28716051650296126,-0.47268939613343974,-0.2129558174701033,-0.03745273284035949,-0.25269281220850204,0.3578495922400741,-0.17815865730310265,-0.3066449926725759,-0.16603858405438432,0.24802896228704355,-0.21441382379802235,-0.1371915440764206,-0.04472202541464736,-0.08358591841972687,0.02400871950476404,-0.08859263371092148,-0.1727640717733104,-0.12235487654193546,0.6823266516150287,-0.14541157159386178,-0.11562199736117432,-0.24805546565322653,-0.17691343054063136,-0.11138712539334464,0.9998501654893425,-0.2075078120331463,-0.13526981073273622,-0.09906781587036366,0
3,1.123104464339127,0.38359949446644526,-0.11197866883757297,0,-1.0189251368650363,0,0.0,0.0,1.0,0.9592432496381486,0.43150973413131305,0.11324239891120774,0,-0.9026021452988917,1.0708254895658575,-0.08829568049805336,-0.19383214092843365,-0.2665922474311323,0.1417389582275449,-0.3165625061502096,-0.19356481599610129,-0.5596771275658572,-0.15574417531118312,0.5625880501852379,0.44173739450441984,0.4535859533016928,-0.28716051650296126,-0.6379732281753393,1.101159380908318,-0.07661815549036469,-0.25269281220850204,-0.36995914654974343,0.3393933389043935,-0.3066449926725759,-0.16603858405438432,-0.5832517138763079,-0.10195262188756822,0.5871798086470801,-0.05283097875846029,-0.08358591841972687,-0.09419236638956277,-0.058110256549115814,-0.1727640717733104,-0.12235487654193546,-0.23444194935989168,-0.12529772328434854,0.09090970953325012,-0.24805546565322653,-0.17691343054063136,-0.11138712539334464,-0.35621862183940156,-0.2026272246305639,-0.07420469535235548,0.23091133904737096,0
3,-0.2371394111382117,1.0039028512170856,-0.21200899760184733,1,-0.0793880377897437,0,0.0,0.0,1.0,0.33945663946585675,0.43150973413131305,-0.17588492104819964,3,0.29311151090964505,0.4167312177172431,-0.09753628375641045,-0.05616358385785756,-0.19602771974746389,-0.09100500373562456,0.5731038735759109,0.6238107814092364,-0.1620008535440234,0.40425410252271493,0.025996486172698764,0.44173739450441984,-0.02738468084604128,1.0721902401896282,0.3950507220865331,0.4441017817191073,-0.10433807905994227,0.1181395208446013,-0.15893515158425364,-0.04145494106640235,0.9963592621581506,0.7278609832716365,0.03935003221711129,0.5446992890975431,0.04390129410445458,-0.05332826507697414,-0.07807172933921584,-0.09217943681914365,-0.084339280065057,-0.06506724623481752,-0.012533321474605211,-0.18572524556908268,-0.07368909591917369,-0.08834584727377578,0.313018925820814,0.6625769582390854,0.1477406258480916,-0.1867703099891511,0.23723571502717616,0.0708249536760488,-0.05782042150564683,1
2,0.21627521402090125,-0.2367038622841949,-0.021465695050629178,1,-0.5679473293088958,0,1.0,0.0,0.0,0.02956333437971089,-0.2944630247640796,0.08335162978175516,2,-0.5518594728110543,-0.01933163018183334,-0.07501801769189624,0.17800762319881336,-0.16315698553579525,-0.06172431900847811,0.14474598704111216,0.21512298270656752,-0.4543614798249026,-0.08270092168067467,-0.10815140483043603,-0.3789575518921257,0.08057331125799207,0.3169953753604118,-0.4635069610200009,-0.06694301765027874,-0.06288137404565794,0.4150472062210896,-0.1752147970495326,-0.05508074059644884,0.14377623121952707,0.1319279383876226,-0.4744753168576876,-0.08320908823582586,-0.10700940437960807,-0.05171989380221096,-0.043358348845135855,-0.08455392139742787,-0.07307792454733074,-0.021933893573705805,0.025957933591568273,-0.19920442294802804,-0.09518765026266394,-0.09720392603353238,-0.09720418893318272,0.04073222580966557,-0.04660518758298558,-0.33265518696152174,-0.14772061635151174,-0.10855382275381964,-0.09391189157477405,1
